Name of Initiative,Organization Name,Location Name,Location 1,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Telephone Number,NPI,Category,Unique ID
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"10150 Se 32nd Ave  Milwaukie OR 97222 (45.449514, -122.627638)",10150 Se 32nd Ave,,Milwaukie,OR,97222,(503) 215-1290,1003319724,Administrative Location,45
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"10202 Se 32nd Ave Ste 101 Milwaukie OR 97222 (45.449585, -122.629015)",10202 Se 32nd Ave,Ste 101,Milwaukie,OR,97222,(503) 215-1290,1003319724,Administrative Location,46
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"10330 Se 32nd Ave Ste 205 Milwaukie OR 97222 (45.448742, -122.629256)",10330 Se 32nd Ave,Ste 205,Milwaukie,OR,97222,(503) 215-1290,1003319724,Administrative Location,47
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"110 Center Ave  Molalla OR 97038 (45.147821, -122.575558)",110 Center Ave,,Molalla,OR,97038,(503) 215-1290,1003319724,Administrative Location,48
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1130 Tucker Rd  Hood River OR 97031 (45.686285, -121.525017)",1130 Tucker Rd,,Hood River,OR,97031,(503) 215-1290,1003319724,Community Setting,49
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1151 May St Ste 201 Hood River OR 97031 (45.703838, -121.523221)",1151 May St,Ste 201,Hood River,OR,97031,(503) 215-1290,1003319724,Administrative Location,50
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"12345 Sw Horizon Blvd Ste 57 Beaverton OR 97007 (45.430743, -122.831406)",12345 Sw Horizon Blvd,Ste 57,Beaverton,OR,97007,(503) 215-1290,1003319724,Administrative Location,51
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"12442 Sw Scholls Ferry Rd  Tigard OR 97223 (45.442853, -122.804908)",12442 Sw Scholls Ferry Rd,,Tigard,OR,97223,(503) 215-1290,1003319724,Administrative Location,52
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1321 Ne 99th Ave  Portland OR 97220 (45.532421, -122.562792)",1321 Ne 99th Ave,,Portland,OR,97220,(503) 215-1290,1003319724,Administrative Location,53
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1332 S Shasta Ave Ste A Eagle Point OR 97524 (42.461147, -122.816026)",1332 S Shasta Ave,Ste A,Eagle Point,OR,97524,(503) 215-1290,1003319724,Administrative Location,54
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1500 Division St  Oregon City OR 97045 (45.356774, -122.587578)",1500 Division St,,Oregon City,OR,97045,(503) 215-1290,1003319724,Administrative Location,55
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1511 Division St  Oregon City OR 97045 (45.357247, -122.588578)",1511 Division St,,Oregon City,OR,97045,(503) 215-1290,1003319724,Administrative Location,56
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"15640 Nw Laidlaw Rd  Portland OR 97229 (45.555555, -122.837629)",15640 Nw Laidlaw Rd,,Portland,OR,97229,(503) 215-1290,1003319724,Administrative Location,57
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"16180 Se Sunnyside Rd  Happy Valley OR 97015 (45.426599, -122.497424)",16180 Se Sunnyside Rd,,Happy Valley,OR,97015,(503) 215-1290,1003319724,Administrative Location,58
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1661 Highway 99 N Ste 100 Ashland OR 97520 (42.217828, -122.737026)",1661 Highway 99 N,Ste 100,Ashland,OR,97520,(503) 215-1290,1003319724,Administrative Location,59
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"16770 Sw Edy Rd  Sherwood OR 97140 (45.366594, -122.84933)",16770 Sw Edy Rd,,Sherwood,OR,97140,(503) 215-1290,1003319724,Administrative Location,60
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1698 E Mcandrews Rd  Medford OR 97504 (42.340215, -122.863651)",1698 E Mcandrews Rd,,Medford,OR,97504,(503) 215-1290,1003319724,Administrative Location,61
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"171 N Larch St Ste 16 Cannon Beach OR 97110 (45.897763, -123.961571)",171 N Larch St,Ste 16,Cannon Beach,OR,97110,(503) 215-1290,1003319724,Administrative Location,62
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"171 S Highway 101  Warrenton OR 97146 (46.160985, -123.900524)",171 S Highway 101,,Warrenton,OR,97146,(503) 215-1290,1003319724,Administrative Location,63
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"18040 Sw Lower Boones Ferry Rd Ste 304 Tigard OR 97224 (45.391086, -122.750758)",18040 Sw Lower Boones Ferry Rd,Ste 304,Tigard,OR,97224,(503) 215-1290,1003319724,Administrative Location,64
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"18610 Nw Cornell Rd  Hillsboro OR 97124 (45.536455, -122.882484)",18610 Nw Cornell Rd,,Hillsboro,OR,97124,(503) 215-1290,1003319724,Administrative Location,65
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"1899 Blankenship Rd  West Linn OR 97068 (45.348706, -122.65243)",1899 Blankenship Rd,,West Linn,OR,97068,(503) 215-1290,1003319724,Administrative Location,66
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"200 S Hazel Dell Way Ste 205 Canby OR 97013 (45.268457, -122.674747)",200 S Hazel Dell Way,Ste 205,Canby,OR,97013,(503) 215-1290,1003319724,Administrative Location,67
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"205 N Phoenix Rd Ste A Phoenix OR 97535 (42.282924, -122.818221)",205 N Phoenix Rd,Ste A,Phoenix,OR,97535,(503) 215-1290,1003319724,Administrative Location,68
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"265 Se Oak St Ste C Hillsboro OR 97123 (45.519247, -122.98702)",265 Se Oak St,Ste C,Hillsboro,OR,97123,(503) 215-1290,1003319724,Administrative Location,69
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"29345 Sw Town Center Loop E  Wilsonville OR 97070 (45.308574, -122.760727)",29345 Sw Town Center Loop E,,Wilsonville,OR,97070,(503) 215-1290,1003319724,Administrative Location,70
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"3225 Hillcrest Park Dr  Medford OR 97504 (42.330678, -122.81792)",3225 Hillcrest Park Dr,,Medford,OR,97504,(503) 215-1290,1003319724,Administrative Location,71
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"3601 Sw Murray Blvd Ste 61 Beaverton OR 97005 (45.493702, -122.827009)",3601 Sw Murray Blvd,Ste 61,Beaverton,OR,97005,(503) 215-1290,1003319724,Administrative Location,72
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"4004 Kruse Way Pl Ste 300 Lake Oswego OR 97035 (45.417245, -122.718188)",4004 Kruse Way Pl,Ste 300,Lake Oswego,OR,97035,(503) 215-1290,1003319724,Administrative Location,73
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"4104 Se 82nd Ave Ste 250 Portland OR 97266 (45.49292, -122.578522)",4104 Se 82nd Ave,Ste 250,Portland,OR,97266,(503) 215-1290,1003319724,Administrative Location,74
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"417 Sw 117th Ave  Portland OR 97225 (45.517029, -122.79718)",417 Sw 117th Ave,,Portland,OR,97225,(503) 215-1290,1003319724,Administrative Location,75
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"440 Nw Division St  Gresham OR 97030 (45.504196, -122.436339)",440 Nw Division St,,Gresham,OR,97030,(503) 215-1290,1003319724,Administrative Location,76
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"4400 Ne Halsey St Bldg 1-3 Portland OR 97213 (45.533061, -122.618082)",4400 Ne Halsey St,Bldg 1-3,Portland,OR,97213,(503) 215-1290,1003319724,Administrative Location,77
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"4805 Ne Glisan St  Portland OR 97213 (45.528057, -122.612115)",4805 Ne Glisan St,,Portland,OR,97213,(503) 215-1290,1003319724,Administrative Location,78
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"4920 N Interstate Ave  Portland OR 97217 (45.558773, -122.681617)",4920 N Interstate Ave,,Portland,OR,97217,(503) 215-1290,1003319724,Administrative Location,79
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"5050 Ne Hoyt St Ste 240 Portland OR 97213 (45.526964, -122.61155)",5050 Ne Hoyt St,Ste 240,Portland,OR,97213,(503) 215-1290,1003319724,Administrative Location,80
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"5050 Ne Hoyt St Ste 454 Portland OR 97213 (45.526964, -122.61155)",5050 Ne Hoyt St,Ste 454,Portland,OR,97213,(503) 215-1290,1003319724,Administrative Location,81
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"5211 Ne Glisan St Bldg C Portland OR 97213 (45.526744, -122.609794)",5211 Ne Glisan St,Bldg C,Portland,OR,97213,(503) 215-1290,1003319724,Administrative Location,82
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"5555 Ne Elam Young Pkwy  Hillsboro OR 97124 (45.529859, -122.925141)",5555 Ne Elam Young Pkwy,,Hillsboro,OR,97124,(503) 215-1290,1003319724,Administrative Location,83
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"70 Bower Dr Ste 220 Medford OR 97501 (42.312579, -122.861149)",70 Bower Dr,Ste 220,Medford,OR,97501,(503) 215-1290,1003319724,Administrative Location,84
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"725 S Wahanna Rd  Seaside OR 97138 (45.989057, -123.912022)",725 S Wahanna Rd,,Seaside,OR,97138,(503) 215-1290,1003319724,Administrative Location,85
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"839 Ne Holladay St  Portland OR 97232 (45.530475, -122.657202)",839 Ne Holladay St,,Portland,OR,97232,(503) 215-1290,1003319724,Administrative Location,86
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"870 S Front St Ste 200 Central Point OR 97502 (42.366052, -122.910447)",870 S Front St,Ste 200,Central Point,OR,97502,(503) 215-1290,1003319724,Administrative Location,87
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"9205 Sw Barnes Rd Ste Mt-2800 Portland OR 97225 (45.510225, -122.771821)",9205 Sw Barnes Rd,Ste Mt-2800,Portland,OR,97225,(503) 215-1290,1003319724,Administrative Location,88
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"9205 Sw Barnes Rd  Portland OR 97225 (45.510225, -122.771821)",9205 Sw Barnes Rd,,Portland,OR,97225,(503) 215-1290,1003319724,Administrative Location,89
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"9290 Se Sunnybrook Blvd Ste 120 Clackamas OR 97015 (45.429396, -122.56879)",9290 Se Sunnybrook Blvd,Ste 120,Clackamas,OR,97015,(503) 215-1290,1003319724,Administrative Location,90
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"9340 Sw Barnes Rd Ste 200 Portland OR 97225 (45.508798, -122.773545)",9340 Sw Barnes Rd,Ste 200,Portland,OR,97225,(503) 215-1290,1003319724,Administrative Location,91
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"9427 Sw Barnes Rd  Portland OR 97225 (45.509514, -122.773382)",9427 Sw Barnes Rd,,Portland,OR,97225,(503) 215-1290,1003319724,Administrative Location,92
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Providence Health & Services Oregon,Providence Health & Services Oregon,"965 Ellendale Dr  Medford OR 97504 (42.314697, -122.845252)",965 Ellendale Dr,,Medford,OR,97504,(503) 215-1290,1003319724,Administrative Location,93
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mvhs Inc,Mvhs Inc,"1676 Sunset Ave  Utica NY 13502 (43.09128, -75.256518)",1676 Sunset Ave,,Utica,NY,13502,(315) 624-5620,1770690737,Administrative Location,94
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Young Mens Christian Asso,"1 Icehouse Rd  Medfield MA 02052 (42.20074, -71.325772)",1 Icehouse Rd,,Medfield,MA,02052,(508) 359-3665,1689815383,Community Setting,95
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Young Mens Christian Asso,"10 Daniel Mccahill St  Franklin MA 02038 (42.090654, -71.404186)",10 Daniel Mccahill St,,Franklin,MA,02038,(508) 520-4945,1689815383,Community Setting,96
